username,action,date
admin,Logout Admin,now
admin,Logout Admin,now
User,Logout Operator,now
admin,Logout Admin,now
admin,Logout Admin,now
admin,Logout Admin,now
admin,Logout Admin,now
User,Logout Operator,now
admin,Logout Admin,now
admin,Logout Admin,now
admin,Logout Admin,now
admin,Logout Admin,now
admin,Logout Admin,now
admin,Logout Admin,now
admin,Logout Admin,now
admin,Login berhasil pada 2025-11-30 11:11:50 - 2025-11-30 11:11:50,2025-11-30 11:11:50
admin,Logout Admin pada 2025-11-30 11:23:47 - 2025-11-30 11:23:47,2025-11-30 11:23:47
admin,Login berhasil pada 2025-11-30 11:24:05 - 2025-11-30 11:24:05,2025-11-30 11:24:05
admin,Logout Admin pada 2025-11-30 11:27:12 - 2025-11-30 11:27:12,2025-11-30 11:27:12
User,Login berhasil pada 2025-11-30 11:27:35 - 2025-11-30 11:27:35,2025-11-30 11:27:35
admin,Login berhasil pada 2025-11-30 11:34:30 - 2025-11-30 11:34:30,2025-11-30 11:34:30
admin,Logout Admin pada 2025-11-30 11:34:32 - 2025-11-30 11:34:32,2025-11-30 11:34:32
admin,Login berhasil,2025-11-30 11:35:11
admin,Logout Admin,2025-11-30 11:41:56
admin,Login berhasil,2025-11-30 11:42:06
admin,Kunci user User,2025-11-30 11:42:53
admin,Logout Admin,2025-11-30 11:42:57
admin,Login berhasil,2025-11-30 11:43:26
admin,Logout Admin,2025-11-30 11:44:29
admin,Login berhasil,2025-11-30 11:44:37
admin,Logout Admin,2025-11-30 11:45:14
